Model,Method,Replicate,RF,FN,FP
1000M1,NJ (LogDet),R4,594.0,0.2966700302724521,0.30090270812437314
1000M1,NJ (LogDet),R4,594.0,0.2966700302724521,0.30090270812437314
1000M1,NJ (p-distance),R4,554.0,0.27648839556004035,0.28084252758274825
1000M1,NJ (p-distance),R4,554.0,0.27648839556004035,0.28084252758274825
1000M1,FastME (BME),R4,534.0,0.26639757820383453,0.2708124373119358
1000M1,FastME (BME),R4,534.0,0.26639757820383453,0.2708124373119358
1000M1,FastTree (GTR),R5,172.0,0.08459214501510574,0.08826479438314945
1000M1,FastTree (GTR),R5,172.0,0.08459214501510574,0.08826479438314945
1000M1,FastTree (JC),R5,198.0,0.09768378650553877,0.10130391173520562
1000M1,FastTree (JC),R5,198.0,0.09768378650553877,0.10130391173520562
1000M1,NJ (JC),R5,386.0,0.19234642497482377,0.19558676028084251
1000M1,NJ (JC),R5,386.0,0.19234642497482377,0.19558676028084251
1000M1,NJ (LogDet),R5,452.0,0.2255790533736153,0.22868605817452356
1000M1,NJ (LogDet),R5,452.0,0.2255790533736153,0.22868605817452356
1000M1,NJ (p-distance),R5,408.0,0.20342396777442096,0.20661985957873621
1000M1,NJ (p-distance),R5,408.0,0.20342396777442096,0.20661985957873621
1000M1,FastME (BME),R5,396.0,0.1973816717019134,0.20060180541624875
1000M1,FastME (BME),R5,396.0,0.1973816717019134,0.20060180541624875
1000M1,FastTree (GTR),R2,204.0,0.10070493454179255,0.10431293881644935
1000M1,FastTree (GTR),R2,204.0,0.10070493454179255,0.10431293881644935
1000M1,FastTree (JC),R2,248.0,0.1228600201409869,0.12637913741223672
1000M1,FastTree (JC),R2,248.0,0.1228600201409869,0.12637913741223672
1000M1,NJ (JC),R2,412.0,0.2054380664652568,0.2086258776328987
1000M1,NJ (JC),R2,412.0,0.2054380664652568,0.2086258776328987
1000M1,NJ (LogDet),R2,466.0,0.2326283987915408,0.23570712136409228
1000M1,NJ (LogDet),R2,466.0,0.2326283987915408,0.23570712136409228
1000M1,NJ (p-distance),R2,450.0,0.22457200402819738,0.22768304914744233
1000M1,NJ (p-distance),R2,450.0,0.22457200402819738,0.22768304914744233
1000M1,FastME (BME),R2,442.0,0.22054380664652568,0.22367101303911735
1000M1,FastME (BME),R2,442.0,0.22054380664652568,0.22367101303911735
1000M4,FastTree (GTR),R14,143.0,0.061601642710472276,0.08324974924774323
1000M4,FastTree (GTR),R14,143.0,0.061601642710472276,0.08324974924774323
1000M4,FastTree (JC),R14,155.0,0.06776180698151951,0.08926780341023069
1000M4,FastTree (JC),R14,155.0,0.06776180698151951,0.08926780341023069
1000M4,NJ (JC),R14,309.0,0.14681724845995894,0.16649949849548645
1000M4,NJ (JC),R14,309.0,0.14681724845995894,0.16649949849548645
1000M4,NJ (LogDet),R14,317.0,0.15092402464065707,0.17051153460381144
1000M4,NJ (LogDet),R14,317.0,0.15092402464065707,0.17051153460381144
1000M4,NJ (p-distance),R14,377.0,0.18172484599589322,0.20060180541624875
